timestamp,frequencia_cardiaca,spo2,pressao_sistolica,pressao_diastolica
2026-01-01 00:00:00,73.72,97.15,119.57,81.77
2026-01-01 00:01:00,73.97,96.48,122.5,87.59
2026-01-01 00:02:00,76.06,97.38,118.33,72.53
2026-01-01 00:03:00,75.79,97.47,117.66,83.9
2026-01-01 00:04:00,76.06,96.02,120.71,78.37
2026-01-01 00:05:00,73.47,96.35,108.24,81.1
2026-01-01 00:06:00,91.91,97.06,125.4,72.76
2026-01-01 00:07:00,60.34,96.84,117.8,82.7
2026-01-01 00:08:00,71.05,96.99,119.65,80.83
2026-01-01 00:09:00,73.97,96.57,125.61,77.76
2026-01-01 00:10:00,76.06,97.44,108.44,80.66
2026-01-01 00:11:00,77.7,97.39,108.56,75.15
2026-01-01 00:12:00,71.52,97.03,121.12,75.4
2026-01-01 00:13:00,70.13,97.56,119.23,75.76
2026-01-01 00:14:00,72.97,97.23,120.72,70.43
2026-01-01 00:15:00,72.48,96.57,116.85,81.25
2026-01-01 00:16:00,72.97,97.18,123.68,82.6
2026-01-01 00:17:00,75.52,96.52,125.67,75.24
2026-01-01 00:18:00,75.26,97.44,122.94,79.41
2026-01-01 00:19:00,75.79,96.98,118.55,77.0
2026-01-01 00:20:00,72.97,96.91,107.05,79.15
2026-01-01 00:21:00,69.01,96.66,123.72,75.01
2026-01-01 00:22:00,72.97,97.61,127.03,74.3
2026-01-01 00:23:00,76.33,96.92,124.07,82.31
2026-01-01 00:24:00,75.79,96.79,114.84,77.81
2026-01-01 00:25:00,77.42,96.82,124.41,86.28
2026-01-01 00:26:00,76.33,97.27,125.36,78.29
2026-01-01 00:27:00,73.97,97.18,129.2,74.21
2026-01-01 00:28:00,73.47,97.21,114.51,82.79
2026-01-01 00:29:00,72.48,97.22,118.26,80.32
2026-01-01 00:30:00,71.05,98.07,123.89,80.59
2026-01-01 00:31:00,74.48,96.8,120.27,82.72
2026-01-01 00:32:00,77.42,96.74,113.66,75.58
2026-01-01 00:33:00,75.0,96.59,122.49,77.49
2026-01-01 00:34:00,76.06,97.31,123.63,77.4
2026-01-01 00:35:00,69.9,97.56,119.76,72.43
2026-01-01 00:36:00,71.29,96.94,120.76,76.65
2026-01-01 00:37:00,72.73,96.58,118.11,83.16
2026-01-01 00:38:00,74.74,96.59,128.83,78.93
2026-01-01 00:39:00,71.76,97.33,114.11,72.36
2026-01-01 00:40:00,75.79,97.37,116.59,71.84
2026-01-01 00:41:00,76.06,97.27,120.22,84.74
2026-01-01 00:42:00,73.22,96.67,125.01,77.5
2026-01-01 00:43:00,71.05,97.12,110.42,75.09
2026-01-01 00:44:00,68.14,97.06,111.11,76.36
2026-01-01 00:45:00,72.97,97.11,107.47,71.93
2026-01-01 00:46:00,77.14,97.44,120.52,83.86
2026-01-01 00:47:00,74.74,97.11,113.25,76.41
2026-01-01 00:48:00,73.97,97.34,117.54,83.39
2026-01-01 00:49:00,75.26,97.03,124.01,78.23
2026-01-01 00:50:00,71.76,97.14,115.66,83.46
2026-01-01 00:51:00,72.24,97.32,120.97,78.81
2026-01-01 00:52:00,72.73,96.27,117.86,81.23
2026-01-01 00:53:00,73.97,96.84,123.88,80.79
2026-01-01 00:54:00,76.06,96.76,123.01,80.58
2026-01-01 00:55:00,76.87,96.68,116.13,79.54
2026-01-01 00:56:00,74.23,96.86,118.87,77.01
2026-01-01 00:57:00,71.29,97.75,125.71,85.36
2026-01-01 00:58:00,72.0,96.57,121.91,74.13
2026-01-01 00:59:00,72.24,97.48,111.2,77.8
2026-01-01 01:00:00,74.48,96.16,123.86,78.02
2026-01-01 01:01:00,77.14,96.83,113.81,79.78
2026-01-01 01:02:00,75.26,97.08,128.51,76.3
2026-01-01 01:03:00,76.87,97.29,126.42,79.41
2026-01-01 01:04:00,75.79,97.36,121.86,77.39
2026-01-01 01:05:00,70.13,97.4,120.21,71.28
2026-01-01 01:06:00,70.82,96.83,118.12,77.7
2026-01-01 01:07:00,72.97,96.77,123.77,73.44
2026-01-01 01:08:00,76.6,97.43,118.01,71.19
2026-01-01 01:09:00,76.33,96.9,121.61,78.65
2026-01-01 01:10:00,76.33,96.36,125.43,80.06
2026-01-01 01:11:00,73.47,96.43,116.4,79.98
2026-01-01 01:12:00,73.97,96.54,116.15,80.19
2026-01-01 01:13:00,70.59,97.25,112.17,69.92
2026-01-01 01:14:00,72.0,97.07,113.16,72.32
2026-01-01 01:15:00,73.97,97.35,108.88,85.81
2026-01-01 01:16:00,76.6,96.79,124.62,73.94
2026-01-01 01:17:00,77.7,97.08,131.26,80.66
2026-01-01 01:18:00,76.33,97.31,128.75,75.36
2026-01-01 01:19:00,74.74,96.85,110.2,78.3
2026-01-01 01:20:00,71.29,97.23,123.79,75.17
